"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-11","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","46858","","","","0"
"2021-12","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170123","7.1.1.1.1","43199","","","","0"
"2021-01","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","1723791","","","","0"
"2021-02","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2078206","","","","0"
"2021-03","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","3150128","","","","0"
"2021-04","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2911265","","","","0"
"2021-05","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2810462","","","","0"
"2021-06","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","3203795","","","","0"
"2021-07","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2985142","","","","0"
"2021-08","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2878214","","","","0"
"2021-09","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2669282","","","","0"
"2021-10","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2515467","","","","0"
"2021-11","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2468914","","","","0"
"2021-12","Ontario","2016A000235","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170125","7.1.1.2.1","2354531","","","","0"
"2021-01","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","3427","","","","0"
"2021-02","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","3640","","","","0"
"2021-03","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","5111","","","","0"
"2021-04","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","4830","","","","0"
"2021-05","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","4320","","","","0"
"2021-06","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","4857","","","","0"
"2021-07","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","4464","","","","0"
"2021-08","Manitoba","2016A000246","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170150","8.1.1.1.1","4457","","","","0"
